item1,value,item2,t1,t2,t
10,0.727778542649665,7,32,33,640-660 ms
10,0.674089378305349,8,32,33,640-660 ms
10,0.7028408560526734,9,32,33,640-660 ms
10,1,10,32,33,640-660 ms
10,0.7616868943356596,11,32,33,640-660 ms
10,0.5471204352780363,12,32,33,640-660 ms
10,0.7774484833463956,13,32,33,640-660 ms
10,0.7316399956409744,14,32,33,640-660 ms
10,0.7249116997831584,15,32,33,640-660 ms
10,0.8359994623134299,16,32,33,640-660 ms
10,0.6697468462396509,17,32,33,640-660 ms
10,0.7454133012958951,18,32,33,640-660 ms
10,0.4415600210372672,19,32,33,640-660 ms
10,0.5604797332416732,20,32,33,640-660 ms
10,0.4070738855151063,21,32,33,640-660 ms
10,0.5866737820059338,22,32,33,640-660 ms
10,0.4988329692205028,23,32,33,640-660 ms
10,0.49356519678388905,24,32,33,640-660 ms
10,0.6044434964917605,25,32,33,640-660 ms
10,0.31752219401247367,26,32,33,640-660 ms
10,0.3999237244034681,27,32,33,640-660 ms
10,0.6865204433173043,28,32,33,640-660 ms
10,0.7272567799557526,29,32,33,640-660 ms
10,0.6228822871045023,30,32,33,640-660 ms
10,0.6413096615276196,31,32,33,640-660 ms
10,0.7716558437304575,32,32,33,640-660 ms
10,0.5999045679922232,33,32,33,640-660 ms
10,0.7105520348743898,34,32,33,640-660 ms
10,0.6438962761538705,35,32,33,640-660 ms
10,0.664271797525611,36,32,33,640-660 ms
10,0.5740162258618058,37,32,33,640-660 ms
10,0.49190827645859087,38,32,33,640-660 ms
10,0.3938442667444819,39,32,33,640-660 ms
10,0.3966985686905023,40,32,33,640-660 ms
10,0.49657563365489754,41,32,33,640-660 ms
10,0.5978122358000438,42,32,33,640-660 ms
10,0.613983608967403,43,32,33,640-660 ms
10,0.6738950530807073,44,32,33,640-660 ms
10,0.6043191314281098,45,32,33,640-660 ms
