time,level,sd_cum,sd_tr,cum_true,tr_true,true_sim_diff,q_cum,q_tr,signif,cum_sig,tr_sig,timesig
11,V1,27.87878569754794,30.210366446392708,-138.6010118109829,-142.96650786013086,4.365496049147964,-167.4584566299193,-169.28616061304882,NA,11,NA,NA
11,V1,27.87878569754794,30.210366446392708,-138.6010118109829,-142.96650786013086,4.365496049147964,-167.4584566299193,-169.28616061304882,NA,NA,11,NA
12,V1,26.87549179572581,32.01486086097725,-137.0390432780963,-147.29464164874778,10.255598370651484,-167.69906261130998,-169.31480539030775,TRUE,12,NA,12
12,V1,26.87549179572581,32.01486086097725,-137.0390432780963,-147.29464164874778,10.255598370651484,-167.69906261130998,-169.31480539030775,TRUE,NA,12,12
13,V1,27.40326525537,32.99082096553262,-137.4516705692234,-148.26227265998253,10.810602090759119,-167.73250473475707,-169.6400837065748,NA,13,NA,NA
13,V1,27.40326525537,32.99082096553262,-137.4516705692234,-148.26227265998253,10.810602090759119,-167.73250473475707,-169.6400837065748,NA,NA,13,NA
14,V1,27.60788553647969,35.67383406946182,-138.2307221132668,-146.9201116464909,8.689389533224102,-167.83292298990568,-169.5871657665955,NA,14,NA,NA
14,V1,27.60788553647969,35.67383406946182,-138.2307221132668,-146.9201116464909,8.689389533224102,-167.83292298990568,-169.5871657665955,NA,NA,14,NA
15,V1,28.247955515399745,31.48104736239864,-139.376729173515,-149.59309174595944,10.216362572444439,-167.7367246866697,-169.63658928239195,TRUE,15,NA,15
15,V1,28.247955515399745,31.48104736239864,-139.376729173515,-149.59309174595944,10.216362572444439,-167.7367246866697,-169.63658928239195,TRUE,NA,15,15
16,V1,28.007467203529654,36.72051565565344,-139.1981806216599,-151.03387812230395,11.835697500644045,-167.38924574219342,-169.8642359841474,NA,16,NA,NA
16,V1,28.007467203529654,36.72051565565344,-139.1981806216599,-151.03387812230395,11.835697500644045,-167.38924574219342,-169.8642359841474,NA,NA,16,NA
17,V1,27.918961434505107,35.12642396599571,-138.23755015635473,-149.80306814451427,11.565517988159542,-167.5255550599791,-169.4292404441328,TRUE,17,NA,17
17,V1,27.918961434505107,35.12642396599571,-138.23755015635473,-149.80306814451427,11.565517988159542,-167.5255550599791,-169.4292404441328,TRUE,NA,17,17
18,V1,28.032757988273882,42.25573477445132,-137.14869259466377,-152.9650363121727,15.816343717508943,-167.90845815414843,-169.8697858464811,TRUE,18,NA,18
18,V1,28.032757988273882,42.25573477445132,-137.14869259466377,-152.9650363121727,15.816343717508943,-167.90845815414843,-169.8697858464811,TRUE,NA,18,18
19,V1,28.68755004955202,42.6364277294327,-136.63867432964022,-155.54997123350063,18.911296903860404,-167.8655152332969,-169.02906787219513,TRUE,19,NA,19
19,V1,28.68755004955202,42.6364277294327,-136.63867432964022,-155.54997123350063,18.911296903860404,-167.8655152332969,-169.02906787219513,TRUE,NA,19,19
20,V1,28.512588459070738,33.89120940829171,-136.5612697593274,-150.42132283515062,13.860053075823231,-167.71306640064392,-169.97485523860388,TRUE,20,NA,20
20,V1,28.512588459070738,33.89120940829171,-136.5612697593274,-150.42132283515062,13.860053075823231,-167.71306640064392,-169.97485523860388,TRUE,NA,20,20
21,V1,28.863265444836273,44.31000375377401,-136.6785942132715,-162.50646156834443,25.827867355072925,-167.65126199007983,-170.07761281128225,TRUE,21,NA,21
21,V1,28.863265444836273,44.31000375377401,-136.6785942132715,-162.50646156834443,25.827867355072925,-167.65126199007983,-170.07761281128225,TRUE,NA,21,21
22,V1,29.126674333349566,40.524192342970636,-137.49822173735322,-159.0502663822835,21.552044644930277,-167.66509213235423,-169.6542164131372,TRUE,22,NA,22
22,V1,29.126674333349566,40.524192342970636,-137.49822173735322,-159.0502663822835,21.552044644930277,-167.66509213235423,-169.6542164131372,TRUE,NA,22,22
23,V1,28.505609663456692,38.025910097072334,-137.33544459102896,-156.9613557373976,19.62591114636865,-167.60677175017233,-169.1950041048492,TRUE,23,NA,23
23,V1,28.505609663456692,38.025910097072334,-137.33544459102896,-156.9613557373976,19.62591114636865,-167.60677175017233,-169.1950041048492,TRUE,NA,23,23
24,V1,28.518018029761866,40.69972487679784,-137.3110091833989,-158.6180846272791,21.307075443880194,-167.56934705994635,-169.75086645546673,TRUE,24,NA,24
24,V1,28.518018029761866,40.69972487679784,-137.3110091833989,-158.6180846272791,21.307075443880194,-167.56934705994635,-169.75086645546673,TRUE,NA,24,24
25,V1,28.410275178290075,30.387469981100796,-136.61510041195098,-148.5971465315341,11.982046119583117,-167.62888400702172,-169.54115775277128,TRUE,25,NA,25
25,V1,28.410275178290075,30.387469981100796,-136.61510041195098,-148.5971465315341,11.982046119583117,-167.62888400702172,-169.54115775277128,TRUE,NA,25,25
26,V1,28.45176553512328,43.317763739785775,-136.78347671384466,-160.73537762609584,23.951900912251176,-167.76341159489442,-169.5472740646386,TRUE,26,NA,26
26,V1,28.45176553512328,43.317763739785775,-136.78347671384466,-160.73537762609584,23.951900912251176,-167.76341159489442,-169.5472740646386,TRUE,NA,26,26
27,V1,28.54918826053323,37.339650889313624,-137.4465952369484,-156.96820452819983,19.521609291251423,-167.40538712342783,-169.54442462520268,TRUE,27,NA,27
27,V1,28.54918826053323,37.339650889313624,-137.4465952369484,-156.96820452819983,19.521609291251423,-167.40538712342783,-169.54442462520268,TRUE,NA,27,27
28,V1,27.881539067298867,40.1872099678865,-136.18360622824386,-156.36103121928386,20.17742499104,-167.78216939536682,-169.6889099354905,TRUE,28,NA,28
28,V1,27.881539067298867,40.1872099678865,-136.18360622824386,-156.36103121928386,20.17742499104,-167.78216939536682,-169.6889099354905,TRUE,NA,28,28
29,V1,27.493316377120536,36.532969526075675,-135.72901570424793,-150.16171595306133,14.432700248813404,-167.7265381338251,-169.831036983363,TRUE,29,NA,29
29,V1,27.493316377120536,36.532969526075675,-135.72901570424793,-150.16171595306133,14.432700248813404,-167.7265381338251,-169.831036983363,TRUE,NA,29,29
30,V1,27.8624329330063,40.701218875582484,-135.72554642096497,-159.3818170172106,23.656270596245633,-167.52868845270186,-169.1938827414294,TRUE,30,NA,30
30,V1,27.8624329330063,40.701218875582484,-135.72554642096497,-159.3818170172106,23.656270596245633,-167.52868845270186,-169.1938827414294,TRUE,NA,30,30
31,V1,28.141455696306263,41.616545283114625,-135.9134561162915,-164.30066364569183,28.387207529400314,-167.46739031454914,-169.7539222419413,TRUE,31,NA,31
31,V1,28.141455696306263,41.616545283114625,-135.9134561162915,-164.30066364569183,28.387207529400314,-167.46739031454914,-169.7539222419413,TRUE,NA,31,31
32,V1,29.12298187137196,40.56345015595795,-136.69394578797724,-168.8626363258973,32.16869053792007,-167.6276593975802,-169.12925161159095,TRUE,32,NA,32
32,V1,29.12298187137196,40.56345015595795,-136.69394578797724,-168.8626363258973,32.16869053792007,-167.6276593975802,-169.12925161159095,TRUE,NA,32,32
33,V1,29.167843416179394,46.18190024981815,-136.92088898487023,-166.52147889633022,29.60058991145999,-167.0160868839977,-169.92918721979802,TRUE,33,NA,33
33,V1,29.167843416179394,46.18190024981815,-136.92088898487023,-166.52147889633022,29.60058991145999,-167.0160868839977,-169.92918721979802,TRUE,NA,33,33
34,V1,28.533433473933712,36.491240748326824,-136.27270361174158,-158.89428100211725,22.621577390375677,-167.38190810591055,-169.33259305915885,TRUE,34,NA,34
34,V1,28.533433473933712,36.491240748326824,-136.27270361174158,-158.89428100211725,22.621577390375677,-167.38190810591055,-169.33259305915885,TRUE,NA,34,34
35,V1,28.221016027574038,39.591287643538266,-136.49341470133174,-166.71490714069193,30.22149243936019,-167.30855497656412,-169.57369874056639,TRUE,35,NA,35
35,V1,28.221016027574038,39.591287643538266,-136.49341470133174,-166.71490714069193,30.22149243936019,-167.30855497656412,-169.57369874056639,TRUE,NA,35,35
36,V1,28.54726487580908,41.499610709109575,-136.90420046221968,-166.59574758642515,29.69154712420547,-167.3553603626109,-169.51614426116035,TRUE,36,NA,36
36,V1,28.54726487580908,41.499610709109575,-136.90420046221968,-166.59574758642515,29.69154712420547,-167.3553603626109,-169.51614426116035,TRUE,NA,36,36
37,V1,28.72015429120572,38.67149270769847,-137.1916955964766,-164.43446435965197,27.242768763175377,-167.53070229722323,-169.86862341689934,TRUE,37,NA,37
37,V1,28.72015429120572,38.67149270769847,-137.1916955964766,-164.43446435965197,27.242768763175377,-167.53070229722323,-169.86862341689934,TRUE,NA,37,37
38,V1,29.023073569128808,40.71623650388403,-137.6123626237927,-160.80551021793494,23.193147594142232,-167.62394141800863,-169.3736893318432,TRUE,38,NA,38
38,V1,29.023073569128808,40.71623650388403,-137.6123626237927,-160.80551021793494,23.193147594142232,-167.62394141800863,-169.3736893318432,TRUE,NA,38,38
39,V1,28.533958528896733,42.36229218091025,-137.61382133648,-166.43572693804975,28.821905601569767,-167.81212429760762,-169.3456749106152,TRUE,39,NA,39
39,V1,28.533958528896733,42.36229218091025,-137.61382133648,-166.43572693804975,28.821905601569767,-167.81212429760762,-169.3456749106152,TRUE,NA,39,39
